temperature_mean,temperature_max,temperature_min,precipitation,snowfall,wind_speed_max,wind_gusts_max,et0,dew_point,humidity_mean,humidity_min,soil_moisture_0_7,soil_moisture_7_28,soil_moisture_28_100,soil_temperature_0_7,soil_temperature_7_28,soil_temperature_28_100,solar_radiation,cloud_cover,pressure,month,drought_score,drought,sukhovey_score,sukhovey,early_snow_score,early_snow
-12.2,-7.3,-17.6,0.3,0.21,24.8,46.8,0.58,-14.6,82,74,0.472,0.446,0.436,-10.7,-6.9,-2.4,12.81,83,995.5,3,1,0,2,0,0,0
-7.9,-4.0,-11.6,0.0,0.0,20.1,38.5,0.81,-10.4,82,74,0.471,0.446,0.435,-7.9,-6.3,-2.5,13.88,85,998.0,3,1,0,1,0,0,0
-5.3,-1.2,-8.5,0.0,0.0,26.2,48.6,1.05,-8.9,77,62,0.47,0.446,0.435,-7.2,-5.3,-2.5,15.13,60,996.6,3,1,0,2,0,0,0
-3.6,2.1,-7.4,0.0,0.0,15.8,30.6,1.38,-8.3,71,53,0.47,0.446,0.435,-5.9,-4.6,-2.4,15.17,24,1000.0,3,1,0,1,0,0,0
-4.5,2.7,-11.7,0.0,0.0,13.0,21.6,1.51,-10.6,64,46,0.473,0.446,0.435,-5.7,-4.2,-2.4,15.54,55,993.3,3,1,0,1,0,0,0
-4.4,-0.6,-7.8,0.0,0.0,14.5,28.8,0.74,-6.9,83,72,0.475,0.446,0.434,-4.5,-3.5,-2.2,9.12,50,986.2,3,1,0,1,0,0,0
-5.5,0.8,-10.9,0.0,0.0,14.2,29.2,1.23,-8.9,78,54,0.48,0.445,0.433,-6.2,-3.8,-2.1,16.25,18,992.3,3,1,0,1,0,0,0
-5.3,1.5,-12.7,0.0,0.0,13.6,22.7,1.44,-9.8,73,50,0.485,0.445,0.433,-5.9,-4.0,-2.1,16.45,1,992.9,3,1,0,1,0,0,0
-3.8,2.2,-9.5,0.0,0.0,18.2,35.3,1.51,-9.0,68,53,0.491,0.447,0.432,-5.0,-3.5,-2.0,16.73,17,990.8,3,1,0,1,0,0,0
-3.3,2.3,-7.9,0.0,0.0,16.9,33.1,1.48,-8.3,70,52,0.488,0.452,0.432,-4.3,-3.0,-2.0,16.27,67,987.9,3,1,0,1,0,0,0
-2.6,2.0,-8.2,0.0,0.0,23.8,45.0,1.5,-7.2,72,56,0.486,0.455,0.431,-4.0,-2.8,-1.9,17.32,39,985.9,3,1,0,2,0,0,0
0.6,4.5,-3.4,0.0,0.0,23.6,42.8,1.22,-2.0,83,69,0.484,0.459,0.431,-1.8,-2.4,-1.9,12.42,74,989.4,3,1,0,2,0,0,0
1.2,7.8,-4.9,0.0,0.0,14.7,32.0,1.63,-2.2,80,56,0.483,0.463,0.431,-2.2,-2.2,-1.9,15.64,75,991.3,3,1,0,1,0,0,0
3.7,5.3,2.3,0.9,0.0,23.5,41.0,0.81,1.7,87,78,0.479,0.465,0.431,-1.2,-2.0,-1.9,5.94,99,982.0,3,1,0,2,0,0,0
4.0,7.1,2.3,2.0,0.0,19.5,39.6,0.89,2.0,88,72,0.482,0.467,0.431,-1.7,-1.9,-1.8,6.85,99,977.5,3,0,0,0,0,0,0
1.8,3.3,-0.0,1.4,0.14,32.8,62.3,1.09,-0.8,83,69,0.497,0.471,0.431,-1.6,-1.9,-1.8,11.33,95,971.7,3,0,0,2,0,0,0
-2.7,-0.3,-4.1,1.1,0.77,19.9,40.3,0.93,-6.4,76,65,0.487,0.475,0.431,-1.6,-1.8,-1.8,9.07,87,981.8,3,0,0,1,0,0,0
1.9,6.2,-2.6,0.0,0.0,20.3,42.1,1.98,-4.4,65,46,0.484,0.475,0.431,-1.5,-1.8,-1.8,15.3,75,994.8,3,1,0,2,0,0,0
2.2,4.4,0.1,0.0,0.0,31.4,56.5,1.12,-0.7,81,71,0.482,0.476,0.431,-1.0,-1.7,-1.8,9.59,95,993.8,4,1,0,3,1,0,0
1.8,3.7,-0.8,0.3,0.0,17.0,30.6,0.89,-0.5,85,68,0.481,0.473,0.431,-0.9,-1.7,-1.8,7.7,86,992.5,4,1,0,1,0,0,0
2.9,7.8,-0.7,0.0,0.0,20.1,42.1,1.88,-0.6,79,59,0.481,0.475,0.432,-0.5,-1.6,-1.8,18.72,21,994.2,4,1,0,2,0,0,0
5.1,12.4,0.5,0.0,0.0,15.3,28.1,2.44,0.2,73,44,0.481,0.476,0.431,-0.5,-1.5,-1.7,19.07,2,996.6,4,1,0,1,0,0,0
6.7,15.1,0.9,0.0,0.0,12.0,25.9,2.63,1.9,74,46,0.475,0.477,0.432,2.1,-1.4,-1.7,19.15,1,993.1,4,1,0,1,0,0,0
6.7,13.0,0.1,0.0,0.0,18.3,31.3,2.4,2.7,78,53,0.467,0.477,0.432,3.6,-1.2,-1.7,17.68,45,989.6,4,1,0,1,0,0,0
0.8,2.8,-1.2,0.1,0.07,15.6,29.2,1.11,-2.2,81,68,0.466,0.475,0.432,0.6,-0.9,-1.7,10.36,100,997.0,4,1,0,1,0,0,0
5.6,10.5,1.1,1.7,0.0,13.2,23.0,1.61,3.9,89,71,0.475,0.474,0.433,2.1,-0.8,-1.7,12.79,83,984.5,4,0,0,0,0,0,0
4.3,6.6,2.2,2.5,0.0,21.9,41.4,0.85,2.6,89,75,0.478,0.474,0.434,2.2,-0.7,-1.7,6.53,100,981.5,4,0,0,1,0,0,0
4.2,6.5,1.9,3.7,0.0,18.0,36.7,1.1,3.0,92,85,0.486,0.478,0.434,2.8,-0.5,-1.6,11.33,90,985.4,4,0,0,0,0,0,0
2.2,5.6,-0.6,0.5,0.21,17.6,37.1,1.5,-2.0,77,43,0.484,0.482,0.435,2.2,-0.3,-1.6,13.51,71,992.7,4,1,0,1,0,0,0
5.4,8.7,0.5,0.6,0.0,33.4,69.8,1.86,1.2,75,59,0.482,0.482,0.436,3.1,-0.2,-1.6,12.69,77,986.5,4,1,0,3,1,0,0
10.0,12.3,7.1,5.1,0.0,24.6,55.8,1.57,7.1,83,74,0.492,0.484,0.438,5.3,0.1,-1.6,9.17,95,975.3,4,0,0,1,0,0,0
9.6,14.0,5.3,6.1,0.0,19.5,42.8,1.64,7.8,88,73,0.498,0.496,0.441,6.0,0.6,-1.5,12.51,85,975.1,4,0,0,1,0,0,0
4.7,7.2,0.9,0.0,0.0,13.0,23.0,1.86,0.3,74,56,0.485,0.492,0.446,4.7,1.4,-1.5,14.92,75,988.7,4,1,0,1,0,0,0
8.7,14.1,3.0,1.4,0.0,28.5,54.0,3.06,2.3,66,45,0.475,0.481,0.449,6.6,2.8,-1.5,19.35,81,988.8,4,0,0,1,0,0,0
11.9,15.1,9.2,2.8,0.0,31.0,59.8,2.87,6.3,71,48,0.486,0.48,0.45,9.4,5.5,-1.4,17.5,71,984.7,4,0,0,2,0,0,0
15.5,22.0,8.6,0.0,0.0,29.8,56.9,3.77,9.6,70,50,0.467,0.474,0.451,11.4,7.0,-1.4,18.0,86,986.7,4,1,0,2,0,0,0
17.8,23.9,12.8,0.0,0.0,20.5,37.8,3.89,11.5,68,46,0.452,0.465,0.451,15.0,9.6,-1.3,20.45,48,990.7,4,1,0,1,0,0,0
18.3,25.9,11.2,0.0,0.0,9.5,18.7,3.98,11.4,69,34,0.442,0.456,0.451,15.7,10.6,-1.2,21.8,0,995.3,4,2,0,1,0,0,0
19.7,26.0,13.7,0.0,0.0,14.5,27.7,4.65,11.2,62,34,0.43,0.446,0.45,16.4,11.3,-1.1,22.07,1,997.3,4,3,1,1,0,0,0
15.0,19.4,9.6,0.0,0.0,18.4,36.7,4.33,3.8,51,26,0.415,0.435,0.449,14.3,11.0,-1.0,22.89,2,997.8,4,2,0,2,0,0,0
9.9,14.2,6.7,0.0,0.0,15.6,30.6,3.68,0.8,55,40,0.406,0.426,0.448,10.4,8.5,-0.9,22.83,30,995.9,4,1,0,1,0,0,0
5.5,8.5,1.6,0.0,0.0,19.4,40.0,2.74,-2.5,58,43,0.407,0.424,0.448,7.4,6.6,-0.9,18.54,50,994.9,4,1,0,2,0,0,0
4.1,9.6,-2.2,0.0,0.0,20.9,44.6,2.97,-5.4,52,33,0.407,0.421,0.447,4.8,3.9,-0.8,21.58,61,999.0,4,2,0,2,0,0,0
8.3,13.8,2.2,0.0,0.0,14.0,31.0,3.76,-3.3,47,25,0.4,0.413,0.446,7.6,4.1,-0.8,24.31,11,1002.7,4,2,0,2,0,0,0
9.8,16.7,0.5,0.0,0.0,11.7,19.4,3.98,-2.3,47,25,0.391,0.404,0.446,8.6,5.2,-0.8,24.42,32,1001.7,4,2,0,2,0,0,0
14.6,20.2,8.6,0.0,0.0,32.1,60.1,4.42,4.5,51,43,0.379,0.397,0.445,11.0,7.0,-0.7,16.95,96,992.3,4,1,0,3,1,0,0
12.7,16.2,7.6,0.0,0.0,22.1,40.3,2.35,6.8,68,56,0.371,0.392,0.443,11.6,8.6,-0.6,10.57,84,989.2,4,1,0,2,0,0,0
4.4,7.4,-0.0,2.4,0.0,13.8,29.9,1.3,-0.6,70,64,0.381,0.391,0.442,5.8,6.2,-0.6,7.45,96,991.2,4,0,0,0,0,0,0
6.1,11.9,-1.7,4.7,0.0,30.2,61.6,2.58,0.4,70,38,0.404,0.392,0.442,4.9,3.5,-0.5,17.48,51,980.8,5,0,0,2,0,0,0
6.8,9.5,2.6,1.4,0.0,24.2,44.3,1.84,1.9,73,48,0.446,0.394,0.44,6.5,4.4,-0.5,12.4,85,977.5,5,0,0,1,0,0,0
6.7,12.1,-1.5,0.0,0.0,20.9,37.1,3.06,-1.0,61,39,0.431,0.398,0.44,5.8,3.9,-0.5,19.61,45,978.1,5,1,0,1,0,0,0
10.1,15.2,5.9,3.6,0.0,29.9,49.3,3.46,3.5,67,35,0.438,0.399,0.44,8.9,5.5,-0.4,20.39,45,970.8,5,1,0,1,0,0,0
4.2,8.1,0.2,0.0,0.0,21.3,43.6,2.73,-4.0,58,37,0.436,0.402,0.44,5.8,5.3,-0.4,20.67,56,978.8,5,1,0,2,0,0,0
7.8,14.6,-1.1,0.0,0.0,19.6,40.7,4.12,-3.5,49,28,0.422,0.402,0.44,6.3,4.0,-0.4,25.27,25,990.7,5,2,0,3,1,0,0
12.0,17.5,8.1,2.5,0.0,19.4,39.2,3.18,4.4,62,38,0.432,0.4,0.439,9.5,5.9,-0.3,15.38,59,988.1,5,0,0,0,0,0,0
13.7,21.7,2.7,0.0,0.0,23.3,45.0,5.03,2.7,53,28,0.424,0.395,0.436,10.9,7.0,-0.3,24.81,78,991.8,5,3,1,3,1,0,0
18.2,23.8,13.6,7.7,0.0,25.7,49.3,4.33,11.2,65,49,0.424,0.388,0.433,14.6,9.7,-0.2,16.98,79,978.2,5,0,0,1,0,0,0
9.8,13.9,4.8,0.0,0.0,21.2,42.1,3.79,1.3,60,31,0.448,0.393,0.431,11.4,9.8,-0.1,25.54,50,986.3,5,2,0,2,0,0,0
8.9,14.9,0.7,0.0,0.0,25.6,49.3,4.21,-3.3,48,22,0.427,0.391,0.429,8.6,7.2,-0.0,24.36,23,992.5,5,2,0,3,1,0,0
14.6,21.4,5.8,0.0,0.0,28.3,55.1,5.86,1.0,42,25,0.414,0.385,0.425,11.1,7.2,0.0,25.4,36,991.0,5,3,1,3,1,0,0
19.6,24.5,12.8,0.3,0.0,32.5,57.2,6.39,6.1,43,29,0.393,0.375,0.419,14.9,9.8,0.1,19.06,87,980.1,5,3,1,4,1,0,0
9.7,17.7,4.8,2.4,0.0,21.8,47.5,1.62,5.8,78,62,0.407,0.372,0.418,10.8,10.0,0.2,8.32,95,980.5,5,0,0,1,0,0,0
7.9,13.8,-1.4,0.0,0.0,16.9,37.1,3.72,-1.6,56,31,0.406,0.372,0.418,8.0,6.8,0.3,24.9,23,992.0,5,2,0,1,0,0,0
9.5,16.5,-0.3,0.0,0.0,10.7,20.5,4.11,-1.5,51,26,0.397,0.364,0.414,9.1,6.5,0.4,26.8,24,995.8,5,2,0,2,0,0,0
14.0,20.8,5.8,0.0,0.0,10.5,22.0,4.36,2.4,49,28,0.389,0.355,0.408,11.7,7.7,0.4,23.91,45,987.8,5,2,0,2,0,0,0
17.1,24.0,7.1,0.0,0.0,9.7,17.6,4.42,7.5,57,31,0.377,0.345,0.401,14.0,9.3,0.5,23.09,52,978.7,5,2,0,1,0,0,0
11.7,15.5,10.0,35.9,0.0,25.6,45.0,0.76,10.5,93,63,0.472,0.381,0.397,11.4,9.8,0.7,4.97,99,975.6,5,0,0,1,0,0,0
9.4,10.3,8.0,4.6,0.0,17.6,32.4,0.67,9.3,100,98,0.489,0.456,0.397,9.3,7.9,0.8,5.48,99,979.9,5,0,0,0,0,0,0
10.7,15.3,7.5,1.9,0.0,15.4,27.0,1.6,7.8,84,58,0.486,0.467,0.399,9.1,6.9,1.2,8.36,91,984.9,5,0,0,0,0,0,0
15.6,22.7,9.5,0.5,0.0,19.7,41.8,4.83,7.6,63,32,0.469,0.464,0.398,12.5,8.2,1.6,25.44,26,984.7,5,3,1,2,0,0,0
9.6,12.4,6.9,10.4,0.0,13.6,28.1,1.2,8.2,91,72,0.487,0.469,0.399,9.6,8.6,2.0,7.92,91,987.5,5,0,0,0,0,0,0
5.6,8.2,2.7,0.8,0.0,20.6,37.8,1.95,1.2,75,56,0.489,0.482,0.403,7.1,6.9,2.3,14.08,100,991.8,5,1,0,1,0,0,0
6.4,10.4,2.5,0.3,0.0,22.0,40.3,3.38,-1.9,57,40,0.481,0.475,0.406,7.2,5.9,2.5,25.32,62,990.5,5,1,0,2,0,0,0
